crc,rndinten,expinten
001103765,0,.53564692
001592757,0,.58174443
001596694,0,.00097931433
001604180,0,.26650825
001604498,0,.5598377
001607728,.0016922901,.011903396
001620842,0,.55154639
007162504,0,.00043063049
009292003,0,.062732592
011162013,0,.61464787
048337403,0,.32275417
048948394,0,.0045572799
086976580,.0010438414,.72546971
100006493,0,.057230338
100011516,.0051693474,.01778782
100019964,.030774666,.017408883
100026793,.0042646276,.011560971
100140035,0,1
101100115,0,.60760498
101100430,0,.74287385
101100676,0,.22166744
101100772,.00094776729,.04090935
101101097,.012088678,.0014137606
101101329,.089322418,.12383253
101101628,0,.1883931
101101660,.010878304,.010277061
101101900,.0057648774,.18407683
101102022,.0061792694,.003513356
101102428,0,.028442068
101102954,0,.50981206
101103359,0,.59691954
101104829,0,.21338652
101106154,0,.25014475
101107229,0,.06607794
101110479,0,.09342657
101114824,0,.1247916
101115050,.00038198044,.00096429622
101122066,0,.067634426
101123624,.0037887248,.028153514
101130066,.00099108473,.029382439
101130904,.0033819927,.00089726335
101133734,.00002857656,.088909842
101137460,.0068884846,.32344311
101137612,0,.27762121
101139749,0,.3720125
101141523,.0031506182,.033885762
101145372,0,.25121543
101145591,0,.032561745
101147298,0,.063342966
101166966,.011089758,.19473524
101177737,.00058823527,.037779413
101184689,0,1
101202904,.0028724202,.0022612212
101208804,.0015946359,.25602552
101209006,.014832508,.023141047
101209014,.0075334953,.044912584
101209196,0,.14276063
101215975,0,.25586918
101221320,0,.0070783696
101221523,0,.35311741
101223393,.0001658532,.033999905
10129655X,.0012047959,.39083967
101340661,0,.16928752
101353710,.025831141,.86821336
101389510,0,.18339369
10142358X,0,.05494009
101440726,.0011211365,.033050027
101461180,.0011232283,.024894824
101476227,.0032398461,.023693815
101509228,0,.32852522
101638863,0,.99994671
101641122,0,.30372277
101645318,0,.90852129
101649976,0,1
101650280,0,.92266059
101670003,.000095723757,.051168699
101689775,0,.091528639
101702749,0,.93256205
101717457,.01764537,.0065452661
101740673,0,.621638
101750409,0,.0014792236
101771031,.00029289009,.0069854287
101771760,0,.975384
101785353,0,1
101807807,.0057344711,.21781816
101828704,0,.013339184
101850063,.0007278868,.28603038
101891869,.0048595294,.15820046
101913909,.00035100034,.0056160055
101915568,0,.7141996
101926523,0,.99694151
101939631,.024960548,.030044392
101951710,0,.028158598
101952107,0,.043982483
102006761,0,.0134992
102042252,.0043872371,.0082910322
102109699,0,.042845014
102118747,.049736653,.039068822
102144232,0,.0059136604
102150210,0,.14811158
102155740,0,.20316921
102163695,.00144397,.074883506
102173834,0,.018805785
102176912,0,.016974794
102183725,.014279159,.34092996
102190976,0,.10244872
10219888X,0,.034722224
102279073,0,1
102285764,0,.957232
102300346,0,.78919744
102300936,0,.84469521
102301197,0,1
102321884,0,.024679989
102330932,0,.4803187
102385079,0,.24414635
102398398,.0043435744,.01845384
102436091,0,.87338609
102453414,0,.44810349
102466434,0,.0053582508
102487120,0,.15257841
102488246,0,1
102488967,0,.50767088
102490469,0,1
102490485,0,.89949751
102495702,0,1
102496430,0,.95200002
102496457,0,.82476056
102497898,0,1
102504680,0,.46799782
102508956,0,.96623904
102509553,0,1
102509561,0,1
102510060,0,.98258585
102510140,0,1
102514010,0,.14667496
102517828,0,.8830415
102518548,0,.62402022
102518820,0,.3410657
102519188,0,1
102522731,0,.98481262
102523283,0,.96490282
102524315,0,1
102525369,0,1
102527532,0,.98419631
102528359,0,.42793447
102531830,0,.30198336
102531881,0,.99857581
102548595,0,.84971881
102551807,0,.92723495
102585820,0,.94571429
10259097X,0,.0017943443
102591091,0,.049901567
102592844,0,.041322313
102593548,0,1
102595877,0,.08719442
102599202,0,.59051549
10260194X,0,.58252436
102602715,.0034403671,.82912844
102613828,0,.038043477
102623188,0,.21966839
102640615,0,1
102643808,.000035931156,.058100678
102647059,0,.98130959
102663083,0,.13662496
102664035,0,.35399088
102671788,0,.91215038
102673038,0,.90495157
102684124,0,.80171055
102699836,0,.23911023
102722645,0,.20069037
102726048,0,.14349034
102749928,0,.19526881
102757506,.00025448069,.9525212
102767480,.0044052904,.0061031729
102803664,0,.31457853
10283468X,0,.39658412
102838269,0,.05709666
102840131,0,.74585468
102840342,0,.20339635
102840748,0,.83224922
102849582,.0048687467,.0025560921
102852394,0,.047582753
102856053,0,1
102861899,.0012661363,.34755442
102863069,0,.0099844597
102864280,0,.93583536
10286562X,0,.84886616
10286773X,0,.96936429
102868003,.020638984,.46635845
102871528,0,1
102879167,0,.14564742
102880694,0,.64980543
10288162X,0,.9588865
102899571,0,.84693593
102909207,0,.095284931
102916204,0,.28390813
102917231,0,.35447761
102918090,0,.7885986
10291863X,.0015785781,1
102919878,0,.99999022
102920174,0,.983441
102920529,0,.85392159
102920887,0,.63727349
102921812,0,.95415503
102922268,0,1
102922401,0,1
102922540,0,.70345134
102923957,0,.94871795
102930284,0,.18929921
102930364,.0010241005,.22014748
102930647,0,.74990898
102932634,0,.90631807
102935288,0,1
102936213,0,1
102941004,0,.74374998
102942971,0,.99673045
