crc,indtype,rndinten,expinten
000000457,1515,0,0
000000588,1711,0,0
000008651,4065,0,0
000010495,3538,0,0
000021477,1939,0,0
000086000,2619,0,0
000123457,3240,0,0
000780668,3621,0,0
000785426,3542,0,0
001102474,4024,.00045184261,0
001103765,1723,0,.53564692
001592757,1342,0,.58174443
001595480,2031,0,0
001596694,1512,0,.00097931433
001596758,1723,0,0
00159842X,3717,0,0
00160237X,3169,0,0
001603938,2230,0,0
001604180,3311,0,.26650825
001604498,1810,0,.5598377
001607728,2930,.0016922901,.011903396
00161934X,1790,0,0
001620842,2651,0,.55154639
00162208X,4021,0,0
001668029,3635,0,0
002001111,3133,0,0
003251948,2210,0,0
003517996,3483,0,0
003518112,3483,0,0
004188880,3569,0,0
006193560,2829,0,0
006202906,3110,0,0
007162504,1810,0,.00043063049
009287650,2619,0,0
009292003,2230,0,.062732592
009292257,3727,0,0
009293719,3732,.0013351135,0
009293786,3732,.0029204101,0
009294287,3732,.0013191742,0
00930262X,3727,0,0
009313871,3727,.000031430725,0
009317928,3727,0,0
009319915,2221,.0064516128,0
009331607,2622,0,0
009332001,2221,0,0
009910158,3683,0,0
009910369,1790,0,0
01010076X,3050,0,0
010210263,1741,0,0
010300103,3260,0,0
01030012X,4043,0,0
010300138,4351,0,0
010300154,2672,0,0
010300189,3782,0,0
010300197,1415,0,0
010300226,2490,0,0
010300269,3529,0,0
010300285,2652,0,0
010300322,1415,0,0
010300373,2940,0,0
010300402,3420,0,0
010300429,3030,0,0
010300445,2230,0,0
010300453,3529,0,0
010300461,2319,0,0
010300496,3529,0,0
010300509,2110,0,0
010300576,2312,0,0
010300584,3782,0,0
010300592,3499,0,0
010300596,3010,0,0
010300656,3529,0,0
010300664,1390,0,0
010300680,2031,0,0
01030070X,4041,0,0
010300728,1415,0,0
010300920,2031,0,0
01030127X,2311,0,0
010302205,3529,0,0
010303064,3123,0,0
010303099,2319,0,0
010303128,1390,0,0
010400024,2672,0,0
010400032,2530,0,0
010400040,3789,0,0
010400075,2624,0,0
010400104,2651,0,0
01040042X,2520,0,0
010400534,3383,0,0
010400606,2617,0,0
010401908,3621,0,0
010422758,2530,0,0
010471124,2230,0,0
010549582,2311,.0024242424,0
011100103,3519,0,0
011101042,3171,0,0
011132121,3110,.0064478312,0
011162013,4160,0,.61464787
011204594,3631,0,0
012100113,1342,0,0
012100279,3161,0,0
012100295,3240,0,0
012100308,3131,0,0
012100316,3131,0,0
012100324,3131,0,0
012100340,3131,0,0
012100375,3171,0,0
012100391,3572,0,0
012100404,3519,0,0
012100412,2617,0,0
012100439,2684,0,0
012100594,2617,0,0
012100682,1523,0,0
012100703,3260,0,0
012100762,3110,0,0
012100834,1810,0,0
012100906,3260,0,0
012101327,3161,0,0
012102629,3181,0,0
012103541,2622,0,0
01210478x,3110,0,0
012105125,3260,0,0
012106478,3260,0,0
012106531,3571,0,0
013987377,3482,0,0
014346133,3121,0,0
01533875x,2622,0,0
018111008,3732,0,0
024900003,2311,0,0
027758700,3571,0,0
