crc,rndinten,expinten
001102474,.00045184261,0
001607728,.0016922901,.011903396
009293719,.0013351135,0
009293786,.0029204101,0
009294287,.0013191742,0
009313871,.000031430725,0
009319915,.0064516128,0
010549582,.0024242424,0
011132121,.0064478312,0
048335723,.0033057851,0
063077152,.00059594755,0
086976580,.0010438414,.72546971
100011516,.0051693474,.01778782
100019964,.030774666,.017408883
100026793,.0042646276,.011560971
101100369,.0021565356,0
101100473,.0043040994,0
101100705,.000086673892,0
101100772,.00094776729,.04090935
101100895,.025773583,0
101101097,.012088678,.0014137606
10110110X,.087537095,0
101101134,.0036378901,0
101101329,.089322418,.12383253
10110145X,.00056895206,0
101101505,.0083228154,0
101101580,.46230158,0
101101660,.010878304,.010277061
101101900,.0057648774,.18407683
101102022,.0061792694,.003513356
101102401,.000051964249,0
101102559,.0022094245,0
101102727,.028381964,0
101103324,.00014876967,0
101103930,.0015466575,0
10110401X,.00095111283,0
10110524X,.053203661,0
101105266,.0092238467,0
101105274,.00074926775,0
101105514,.0019567304,0
10110620X,.13831069,0
101106349,.0013234153,0
101107827,.010022271,0
101107931,.023527788,0
101108790,.0058530741,0
101110356,.0012736149,0
101113645,.050707702,0
101114832,.00075001171,0
101115050,.00038198044,.00096429622
101116379,.00049898779,0
101120060,.010957976,0
101123624,.0037887248,.028153514
101124053,.00024888603,0
101124467,.0051151775,0
101125283,.021159515,0
101127940,.0030109563,0
101128302,.0031897926,0
101129583,.00017686594,0
101130066,.00099108473,.029382439
101130146,.00010047783,0
101130410,.000017175196,0
101130904,.0033819927,.00089726335
101131245,.0015608741,0
101133734,.00002857656,.088909842
101134104,.0055132317,0
101134403,.0012409228,0
101135983,.5101375,0
101137460,.0068884846,.32344311
101141523,.0031506182,.033885762
10114488X,.032909203,0
101146762,.020771036,0
101148119,.0065765874,0
101153970,.0064550834,0
101154180,.003125,0
101154682,.006869792,0
101156565,.0024665256,0
101166966,.011089758,.19473524
101170412,.0028967515,0
101173947,.019995244,0
101176574,.0011535235,0
101177737,.00058823527,.037779413
101178561,.031342365,0
10118251X,.01568681,0
10119713X,.0077156653,0
101202904,.0028724202,.0022612212
101208038,.004569625,0
101208804,.0015946359,.25602552
10120896X,.00010841871,0
101209006,.014832508,.023141047
101209014,.0075334953,.044912584
101209284,.0015335071,0
101223393,.0001658532,.033999905
101292778,.028190477,0
10129655X,.0012047959,.39083967
101300264,.00028691659,0
101303131,.0011018723,0
101321145,.00070746377,0
101338166,.031033369,0
101339409,.0013604248,0
101339580,.027364748,0
101353710,.025831141,.86821336
101366968,.025298255,0
101394723,.021297771,0
